ArrayName,PointA_x,PointA_y,PointA_z,PointB_x,PointB_y,PointB_z,PointC_x,PointC_y,PointC_z,PointD_x,PointD_y,PointD_z,Check Status,Failure Reason,Segment AB,Segment AC,Segment AD,Segment BC,Segment BD,Segment CD,Segment Pair AB-AC Data,Segment Pair AB-AD Data,Segment Pair AB-BC Data,Segment Pair AB-BD Data,Segment Pair AB-CD Data,Segment Pair AC-AD Data,Segment Pair AC-BC Data,Segment Pair AC-BD Data,Segment Pair AC-CD Data,Segment Pair AD-BC Data,Segment Pair AD-BD Data,Segment Pair AD-CD Data,Segment Pair BC-BD Data,Segment Pair BC-CD Data,Segment Pair BD-CD Data
Gen Two Face Array 1 - Top,-21.4,47.3,-12.01579208,23.2,79.8,-23.84482469,32.4,0.0,6.0,-35.6,0.0,6.0,True,,56.438781103851305,73.86676359682879,52.56899051979019,85.69360279960712,103.51904926522863,68.0,"[56.438781103851305, 73.86676359682879, 1.4144566094425788]","[56.438781103851305, 52.56899051979019, 2.503807001933772]","[56.438781103851305, 85.69360279960712, 2.1228029732969773]","[56.438781103851305, 103.51904926522863, 2.8344200543697893]","[56.438781103851305, 68.0, 2.4819915986156085]","[73.86676359682879, 52.56899051979019, 1.0894128161208458]","[73.86676359682879, 85.69360279960712, 0.7083463638543985]","[73.86676359682879, 103.51904926522863, 1.4199918644789973]","[73.86676359682879, 68.0, 2.3866902106019823]","[52.56899051979019, 85.69360279960712, 0.3811322646381653]","[52.56899051979019, 103.51904926522863, 0.3306130524360177]","[52.56899051979019, 68.0, 1.2972773944811369]","[85.69360279960712, 103.51904926522863, 0.7116541660349285]","[85.69360279960712, 68.0, 1.6783628802828636]","[103.51904926522863, 68.0, 0.9667087142479353]"
Gen Two Face Array 1 - Bottom,-35.6,0.0,6.0,32.4,0.0,6.0,28.9,-75.0,-32.49776757,-28.5,-64.3,-28.60328606,True,,68.0,106.14767123151475,73.36407435625553,84.37611100230765,95.08252944758142,58.51851831883418,"[68.0, 106.14767123151475, 0.9177055329661692]","[68.0, 73.36407435625553, 1.473867005124663]","[68.0, 84.37611100230765, 1.612289167118858]","[68.0, 95.08252944758142, 2.26594056121023]","[68.0, 58.51851831883418, 2.9457604636332997]","[106.14767123151475, 73.36407435625553, 0.5564451724146803]","[106.14767123151475, 84.37611100230765, 0.6945836341526888]","[106.14767123151475, 95.08252944758142, 1.3483535391107246]","[106.14767123151475, 58.51851831883418, 2.417891574891756]","[73.36407435625553, 84.37611100230765, 0.13978139836989797]","[73.36407435625553, 95.08252944758142, 0.792073556085567]","[73.36407435625553, 58.51851831883418, 1.861446402477076]","[84.37611100230765, 95.08252944758142, 0.6538904909426896]","[84.37611100230765, 58.51851831883418, 1.7235965976897851]","[95.08252944758142, 58.51851831883418, 1.0697061067470952]"
Gen Two Face Array 2 - Top,-44.3,77.2,-22.89850209,25.4,54.2,-14.5271867,36.1,0.0,6.0,-27.1,0.0,6.0,True,,73.87265340678408,115.14826713001692,84.20690840451118,58.93636732796362,78.20009842587577,63.2,"[73.87265340678408, 115.14826713001692, 0.4601853497001662]","[73.87265340678408, 84.20690840451118, 1.0273947487045976]","[73.87265340678408, 58.93636732796362, 1.050552854419986]","[73.87265340678408, 78.20009842587577, 1.9691429468231023]","[73.87265340678408, 63.2, 2.8038817765950292]","[115.14826713001692, 84.20690840451118, 0.5672158513158377]","[115.14826713001692, 58.93636732796362, 0.5903675047198194]","[115.14826713001692, 78.20009842587577, 1.5089613372806037]","[115.14826713001692, 63.2, 2.343718637126103]","[84.20690840451118, 58.93636732796362, 0.023448783513565552]","[84.20690840451118, 78.20009842587577, 0.9417481981185047]","[84.20690840451118, 63.2, 1.776502785810265]","[58.93636732796362, 78.20009842587577, 0.9185992694479416]","[58.93636732796362, 63.2, 1.7533605118188407]","[78.20009842587577, 63.2, 0.8347612423708991]"
Gen Two Face Array 2 - Bottom,-27.1,0.0,6.0,36.1,0.0,6.0,48.1,-46.7,-22.19740994,-47.6,-64.0,-28.49409499,True,,63.2,92.90330417872343,75.53868273394197,55.85681630136479,110.86718445590266,97.45474971810708,"[63.2, 92.90330417872343, 0.6275921077231583]","[63.2, 75.53868273394197, 1.8456271717935897]","[63.2, 55.85681630136479, 1.3542734289476621]","[63.2, 110.86718445590266, 2.426385464263392]","[63.2, 97.45474971810708, 2.9515395804970623]","[92.90330417872343, 75.53868273394197, 1.218754064056555]","[92.90330417872343, 55.85681630136479, 0.7266813212245038]","[92.90330417872343, 110.86718445590266, 1.7992653781603951]","[92.90330417872343, 97.45474971810708, 2.3268078480207977]","[75.53868273394197, 55.85681630136479, 0.4937273108351548]","[75.53868273394197, 110.86718445590266, 0.5807582924698024]","[75.53868273394197, 97.45474971810708, 1.1080537839642426]","[55.85681630136479, 110.86718445590266, 1.0729826048624693]","[55.85681630136479, 97.45474971810708, 1.600733641213431]","[110.86718445590266, 97.45474971810708, 0.5277510363509615]"
Gen Two Face Array 3 - Top,-41.1,68.3,-19.659167,20.2,62.2,-17.43894857,21.0,0.0,6.0,-31.9,0.0,6.0,True,,61.64275602110041,95.81071365527912,73.53858069839184,66.47453881048823,84.45492472358912,52.9,"[61.64275602110041, 95.81071365527912, 0.760142277512221]","[61.64275602110041, 73.53858069839184, 1.339865201256923]","[61.64275602110041, 66.47453881048823, 1.4532643688428322]","[61.64275602110041, 84.45492472358912, 2.130092950842438]","[61.64275602110041, 52.9, 3.0360888876410654]","[95.81071365527912, 73.53858069839184, 0.5797234045091693]","[95.81071365527912, 66.47453881048823, 0.693122091330611]","[95.81071365527912, 84.45492472358912, 1.3699509073527152]","[95.81071365527912, 52.9, 2.2759527882718262]","[73.53858069839184, 66.47453881048823, 0.11340252204113134]","[73.53858069839184, 84.45492472358912, 0.7902277495855148]","[73.53858069839184, 52.9, 1.696229383762657]","[66.47453881048823, 84.45492472358912, 0.6768291097131443]","[66.47453881048823, 52.9, 1.5828313002858052]","[84.45492472358912, 52.9, 0.9060021905726607]"
Gen Two Face Array 3 - Bottom,-31.9,0.0,6.0,21.0,0.0,6.0,47.9,-60.9,-27.36578727,-29.7,-77.0,-33.22570804,True,,52.9,105.78339075746672,86.44360110059807,74.46942835920586,100.190549310997,79.4689163851545,"[52.9, 105.78339075746672, 0.716099802810314]","[52.9, 86.44360110059807, 1.5453434588626627]","[52.9, 74.46942835920586, 1.2012182216136356]","[52.9, 100.190549310997, 2.1013787245712012]","[52.9, 79.4689163851545, 2.9242894588701924]","[105.78339075746672, 86.44360110059807, 0.8296454474969046]","[105.78339075746672, 74.46942835920586, 0.48511841880332174]","[105.78339075746672, 100.190549310997, 1.3855390623821395]","[105.78339075746672, 79.4689163851545, 2.2102255833538655]","[86.44360110059807, 74.46942835920586, 0.3453708145885782]","[86.44360110059807, 100.190549310997, 0.5560352657085387]","[86.44360110059807, 79.4689163851545, 1.3805801358569612]","[74.46942835920586, 100.190549310997, 0.9006240174305428]","[74.46942835920586, 79.4689163851545, 1.7254212713624482]","[100.190549310997, 79.4689163851545, 0.8247972539319054]"
Gen Two Face Array 1 - Top,-21.2,47.9,-12.23417422,35.1,71.8,-20.93306282,26.4,0.0,6.0,-39.2,0.0,6.0,True,,61.77839964643961,69.94751682143772,54.32214198174914,77.17719788166752,106.77602667671272,65.6,"[61.77839964643961, 69.94751682143772, 1.2466164152302968]","[61.77839964643961, 54.32214198174914, 2.332792654676642]","[61.77839964643961, 77.17719788166752, 2.1080542165448644]","[61.77839964643961, 106.77602667671272, 2.764672252192054]","[61.77839964643961, 65.6, 2.7172796034780444]","[69.94751682143772, 54.32214198174914, 1.0861997646187356]","[69.94751682143772, 77.17719788166752, 0.8614378013145678]","[69.94751682143772, 106.77602667671272, 1.5180664420293213]","[69.94751682143772, 65.6, 2.319255054594077]","[54.32214198174914, 77.17719788166752, 0.22482308164956122]","[54.32214198174914, 106.77602667671272, 0.43187959751541183]","[54.32214198174914, 65.6, 1.2330552899753415]","[77.17719788166752, 106.77602667671272, 0.6566337589579568]","[77.17719788166752, 65.6, 1.4578286070490252]","[106.77602667671272, 65.6, 0.8011948480910687]"
Gen Two Face Array 1 - Bottom,-39.2,0.0,6.0,26.4,0.0,6.0,35.4,-78.2,-33.66247232,-21.9,-59.8,-26.96542001,True,,65.6,115.12389721745336,70.44181227393081,88.14392611255053,83.63999591365192,60.553286530483845,"[65.6, 115.12389721745336, 0.865843999181928]","[65.6, 70.44181227393081, 1.3226651803549874]","[65.6, 88.14392611255053, 1.4685123397501954]","[65.6, 83.63999591365192, 2.1864287098940056]","[65.6, 60.553286530483845, 2.812308261798299]","[115.12389721745336, 70.44181227393081, 0.4578119315886773]","[115.12389721745336, 88.14392611255053, 0.6026683405682675]","[115.12389721745336, 83.63999591365192, 1.3209649619624428]","[115.12389721745336, 60.553286530483845, 2.601559911302366]","[70.44181227393081, 88.14392611255053, 0.1497273646058818]","[70.44181227393081, 83.63999591365192, 0.8637635295390184]","[70.44181227393081, 60.553286530483845, 2.143747979713689]","[88.14392611255053, 83.63999591365192, 0.7186475752716521]","[88.14392611255053, 60.553286530483845, 1.9998058494704678]","[83.63999591365192, 60.553286530483845, 1.2811582741988157]"
Gen Two Face Array 2 - Top,-40.9,68.6,-19.76835807,38.3,64.9,-18.4216682,34.8,0.0,6.0,-25.3,0.0,6.0,True,,79.29781569252685,105.35871239543378,74.92214811138115,69.43110165963732,94.09244325486978,60.099999999999994,"[79.29781569252685, 105.35871239543378, 0.7194845408468624]","[79.29781569252685, 74.92214811138115, 1.31137372888444]","[79.29781569252685, 69.43110165963732, 1.5715558234750575]","[79.29781569252685, 94.09244325486978, 2.263351915379103]","[79.29781569252685, 60.099999999999994, 3.09191817635625]","[105.35871239543378, 74.92214811138115, 0.5918893016789273]","[105.35871239543378, 69.43110165963732, 0.852071282628195]","[105.35871239543378, 94.09244325486978, 1.5438674250366111]","[105.35871239543378, 60.099999999999994, 2.3724363932190924]","[74.92214811138115, 69.43110165963732, 0.26018246858553634]","[74.92214811138115, 94.09244325486978, 0.9519781864946624]","[74.92214811138115, 60.099999999999994, 1.780547091540165]","[69.43110165963732, 94.09244325486978, 0.691796211997872]","[69.43110165963732, 60.099999999999994, 1.5203652671761503]","[94.09244325486978, 60.099999999999994, 0.8285690551782783]"
Gen Two Face Array 2 - Bottom,-25.3,0.0,6.0,34.8,0.0,6.0,28.8,-46.9,-22.27020399,-49.9,-75.9,-32.82534078,True,,60.099999999999994,76.97807761717755,88.73205219470094,55.08914987215007,120.17615024073258,84.53461369554847,"[60.099999999999994, 76.97807761717755, 0.7914739961251182]","[60.099999999999994, 88.73205219470094, 1.851715766682936]","[60.099999999999994, 55.08914987215007, 1.6799271833480875]","[60.099999999999994, 120.17615024073258, 2.3529357396164476]","[60.099999999999994, 84.53461369554847, 2.767883340840644]","[76.97807761717755, 88.73205219470094, 1.0621389545200968]","[76.97807761717755, 55.08914987215007, 0.8884531872229694]","[76.97807761717755, 120.17615024073258, 1.5626845872480786]","[76.97807761717755, 84.53461369554847, 1.9816843757173142]","[88.73205219470094, 55.08914987215007, 0.1848358347983086]","[88.73205219470094, 120.17615024073258, 0.5012199729335114]","[88.73205219470094, 84.53461369554847, 0.9195454211972172]","[55.08914987215007, 120.17615024073258, 0.6757449919966916]","[55.08914987215007, 84.53461369554847, 1.0955794401577177]","[120.17615024073258, 84.53461369554847, 0.4198344481610261]"
Gen Two Face Array 3 - Top,-48.4,60.3,-16.74740513,37.9,67.8,-19.47718188,29.7,0.0,6.0,-23.6,0.0,6.0,True,,86.66828532459172,101.25781174876509,69.05486543429326,72.89147272861621,95.01671851072632,53.3,"[86.66828532459172, 101.25781174876509, 0.7821331095450408]","[86.66828532459172, 69.05486543429326, 1.2956709041419074]","[86.66828532459172, 72.89147272861621, 1.7757471971311392]","[86.66828532459172, 95.01671851072632, 2.3669893721660435]","[86.66828532459172, 53.3, 3.049371401995566]","[101.25781174876509, 69.05486543429326, 0.5135382124598384]","[101.25781174876509, 72.89147272861621, 0.9936140875860986]","[101.25781174876509, 95.01671851072632, 1.584856411826288]","[101.25781174876509, 53.3, 2.451675137799226]","[69.05486543429326, 72.89147272861621, 0.4800769104375285]","[69.05486543429326, 95.01671851072632, 1.071318468024136]","[69.05486543429326, 53.3, 1.938136925339388]","[72.89147272861621, 95.01671851072632, 0.5912425468539594]","[72.89147272861621, 53.3, 1.45806167366324]","[95.01671851072632, 53.3, 0.8668191268092809]"
Gen Two Face Array 3 - Bottom,-23.6,0.0,6.0,29.7,0.0,6.0,32.8,-55.2,-25.29115693,-36.2,-69.0,-30.31394616,True,,53.3,84.89485556862611,78.98393941625967,63.52784036954103,102.09070812621187,70.54550596351977,"[53.3, 84.89485556862611, 0.8441708831037482]","[53.3, 78.98393941625967, 1.7310069158166979]","[53.3, 63.52784036954103, 1.5219794366425068]","[53.3, 102.09070812621187, 2.27247982912447]","[53.3, 70.54550596351977, 2.9318862257882397]","[84.89485556862611, 78.98393941625967, 0.8873005862185486]","[84.89485556862611, 63.52784036954103, 0.6778085535387587]","[84.89485556862611, 102.09070812621187, 1.428590414624413]","[84.89485556862611, 70.54550596351977, 2.09019622588729]","[78.98393941625967, 63.52784036954103, 0.21133416823671125]","[78.98393941625967, 102.09070812621187, 0.5414729133077724]","[78.98393941625967, 70.54550596351977, 1.2028956396687414]","[63.52784036954103, 102.09070812621187, 0.7510461727803783]","[63.52784036954103, 70.54550596351977, 1.4128238979253085]","[102.09070812621187, 70.54550596351977, 0.6617777251449303]"
Gen Array 1 - Top,-43.7,36.2,0.0,27.7,62.0,0.0,24.1,-66.3,0.0,-27.1,-69.0,0.0,True,,75.91837722185585,122.89462966297593,106.50164317981202,128.3504966877807,142.00014084500057,51.27114198065029,"[75.91837722185585, 122.89462966297593, 1.3331499786112242]","[75.91837722185585, 106.50164317981202, 1.7610374254762833]","[75.91837722185585, 128.3504966877807, 1.9455935505795734]","[75.91837722185585, 142.00014084500057, 2.3137412442831167]","[75.91837722185585, 51.27114198065029, 2.8475328787173604]","[122.89462966297593, 106.50164317981202, 0.42788744686505903]","[122.89462966297593, 128.3504966877807, 0.6124435719683491]","[122.89462966297593, 142.00014084500057, 0.9805912656718926]","[122.89462966297593, 51.27114198065029, 2.102502449851001]","[106.50164317981202, 128.3504966877807, 0.1845561251032901]","[106.50164317981202, 142.00014084500057, 0.5527038188068334]","[106.50164317981202, 51.27114198065029, 1.6746150029859421]","[128.3504966877807, 142.00014084500057, 0.36814769370354294]","[128.3504966877807, 51.27114198065029, 1.490058877882652]","[142.00014084500057, 51.27114198065029, 1.1219111841791087]"
Gen Array 2 - Top,-42.6,45.7,0.0,41.8,93.2,0.0,21.5,-91.7,0.0,-12.5,-54.3,0.0,True,,96.84838666699616,151.6165228462914,104.43184380254904,186.0110211788538,157.1774156804978,50.54463374088292,"[96.84838666699616, 151.6165228462914, 1.6469031480195868]","[96.84838666699616, 104.43184380254904, 1.7910367986553264]","[96.84838666699616, 186.0110211788538, 2.192761890487337]","[96.84838666699616, 157.1774156804978, 2.436149792659343]","[96.84838666699616, 50.54463374088292, 1.7959969420761066]","[151.6165228462914, 104.43184380254904, 0.1441336506357405]","[151.6165228462914, 186.0110211788538, 0.5458587424677505]","[151.6165228462914, 157.1774156804978, 0.7892466446397562]","[151.6165228462914, 50.54463374088292, 2.8402852170838933]","[104.43184380254904, 186.0110211788538, 0.4017250918320104]","[104.43184380254904, 157.1774156804978, 0.6451129940040164]","[104.43184380254904, 50.54463374088292, 2.6961515664481532]","[186.0110211788538, 157.1774156804978, 0.2433879021720058]","[186.0110211788538, 50.54463374088292, 2.294426474616143]","[157.1774156804978, 50.54463374088292, 2.0510385724441367]"
